poiId,name,latitude,longitude,preference,address
106,Jardim de Alah Beach,-12.997592,-38.4419699,beach,Salvador - BA  41750-240
107,Praia do Corsario,-12.9681066,-38.4057227,beach,Bahia
108,Praia do Cantagalo,-12.9433066,-38.5035109,beach,Salvador - BA  40301-155
109,Praia dos Artistas,-12.977609,-38.4197128,beach,Bahia  41740-000
110,Praia do Buracao,-13.0148481,-38.4840314,beach,Rio Vermelho  Salvador - BA  41940-460
111,Praia Pedra do Sal,-12.9524313,-38.3460781,beach,R. das Sete Casas - Itapuã  Salvador - BA  41640-360
112,Praia de Ipitanga,-12.9231499,-38.3137418,beach,Bahia
113,Alameda Praia De Icarai,-12.9488167,-38.341097,beach,Av. Mãe Stella de Oxóssi  3066 - Stella Maris  Salvador - BA  41600-090
114,Praia de Tubarao,-12.8344415,-38.4782363,beach,Rua Dr. Eduardo Dotto  1368-1478 - Paripe  Salvador - BA  40800-003
115,Praia de Inema,-12.8097377,-38.4931326,beach,Salvador - BA
116,Grao Santo Cafe,-12.9409191,-38.4156929,cafe,Patamares  Salvador - BA  41301-110  dentro do ferreira cosat  terreo - Patamares  BA  Brazil
117,Cafeteria Havanna - Salvador Norte Shopping,-12.9092115,-38.3516729,cafe,RODOVIA  BA-526  305 - Sao Cristovao  Salvador - BA  41510-000  Brazil
118,CAFE COLONIAL AS TReS MARIAS,-12.9342162,-38.3441425,cafe,Alameda da Praia - Praia de Caratingui  n 74 - Centro Comercial Tropical Center - Stella Maris  Salvador - BA  41600-115  Brazil
119,Cafeteria Toxerina | Salvador | Bahia,-12.9572478,-38.4508685,cafe,R. Antonio Carlos Magalhaes - Saboeiro  Salvador - BA  41192-065  Brazil
120,Lucca Specialty Coffees,-12.9785827,-38.4547971,cafe,Av. Tancredo Neves Stiep - Pernambues  Salvador - BA  41820-000  Brazil
121,Coffeetown Salvador,-12.9892871,-38.5235395,cafe,Av. Sete de Setembro  1755 - Vitoria  Salvador - BA  40080-002  Brazil
122,Solange Cafe- Graca,-12.9968597,-38.5216604,cafe,R. da Paz  18 - Graca  Salvador - BA  40150-140  Brazil
123,Casa Castanho,-13.0097359,-38.4948744,cafe,R. Alexandre de Gusmao  57 - Rio Vermelho  Salvador - BA  41950-160  Brazil
124,Ferreiro Cafe Salvador,-12.9778667,-38.4544654,cafe,Av. Tancredo Neves  2915 - 1035 - Caminho das arvores  Salvador - BA  41820-021  Brazil
125,Solange Biscoitos Finos,-12.9940594,-38.4592106,cafe,Rua das Hortensias  422 - Pituba  Salvador - BA  41810-000  Brazil
126,Emporio Gourmet,-12.9388464,-38.4045368,cafe,Alpha Mall - Av. Alphaville  151 - Shopping  Salvador - BA  41701-015  Brazil
127,Doce Cafe Delicatessen,-12.9750321,-38.4213213,cafe,473  Av. Dom Eugenio Sales  449 - Boca do Rio  Salvador - BA  41706-670  Brazil
128,Casa de Noca,-13.0069098,-38.4605981,cafe,R. Espirito Santo  106 - Pituba  Salvador - BA  41830-001  Brazil
